timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue
2023-07-11T17:15:42,codecarbon,359bbc20-213b-43ae-a664-6dfbac2a1e93,0.09824800491333,1.9467457060028218e-07,1.981460801896336e-06,27.0,2.5260000000000007,2.7616195678710938,7.368600368499755e-07,6.22554381688436e-08,6.153002976589052e-08,8.606455047847096e-07,Italy,ITA,apulia,,,Windows-10-10.0.22621-SP0,3.9.7,2.2.4,12,AMD Ryzen 5 4600H with Radeon Graphics,1,1 x NVIDIA GeForce GTX 1650,16.3097,41.2325,7.36431884765625,machine,N,1.0
2023-07-11T17:15:44,codecarbon,46dab326-2931-4bf7-a200-d820d90f7830,0.0762653350830078,1.493877131700886e-07,1.958789180005487e-06,27.0,2.357,2.7616195678710938,5.719900131225585e-07,4.339194979932573e-08,4.5052851000946263e-08,6.604348139228306e-07,Italy,ITA,apulia,,,Windows-10-10.0.22621-SP0,3.9.7,2.2.4,12,AMD Ryzen 5 4600H with Radeon Graphics,1,1 x NVIDIA GeForce GTX 1650,16.3097,41.2325,7.36431884765625,machine,N,1.0
2023-07-11T17:15:53,codecarbon,9e7ad0a0-dfe4-4484-adca-d279e4e25256,0.1088876724243164,2.1523813712889605e-07,1.9766988524665145e-06,27.0,2.458,2.7616195678710938,8.166575431823731e-07,6.714422742525739e-08,6.775412396564208e-08,9.515558945732724e-07,Italy,ITA,apulia,,,Windows-10-10.0.22621-SP0,3.9.7,2.2.4,12,AMD Ryzen 5 4600H with Radeon Graphics,1,1 x NVIDIA GeForce GTX 1650,16.3097,41.2325,7.36431884765625,machine,N,1.0
2023-07-11T17:15:55,codecarbon,60f5d122-dfa9-43a3-affc-92225db2e543,0.0853428840637207,1.6786842124575186e-07,1.966987911029747e-06,27.0,2.525,2.7616195678710938,6.400716304779053e-07,5.247727698749967e-08,4.9588094275350166e-08,7.421370017407551e-07,Italy,ITA,apulia,,,Windows-10-10.0.22621-SP0,3.9.7,2.2.4,12,AMD Ryzen 5 4600H with Radeon Graphics,1,1 x NVIDIA GeForce GTX 1650,16.3097,41.2325,7.36431884765625,machine,N,1.0
2023-07-11T17:16:53,codecarbon,6f7001db-b7bb-4fa4-915a-4672fd0079cc,0.0976231098175048,1.933266128334712e-07,1.980336553454125e-06,27.0,2.513,2.7616195678710938,7.321733236312866e-07,6.148568259345162e-08,6.102725185883172e-08,8.546862580835699e-07,Italy,ITA,apulia,,,Windows-10-10.0.22621-SP0,3.9.7,2.2.4,12,AMD Ryzen 5 4600H with Radeon Graphics,1,1 x NVIDIA GeForce GTX 1650,16.3097,41.2325,7.36431884765625,machine,N,1.0
2023-07-11T17:16:55,codecarbon,8332dbcc-506e-4e17-9e3c-5685c680453c,0.0792512893676757,1.5679921658567414e-07,1.97850682098338e-06,27.0,2.716,2.7616195678710938,5.943846702575684e-07,5.22491357061598e-08,4.65668544620712e-08,6.932006604257994e-07,Italy,ITA,apulia,,,Windows-10-10.0.22621-SP0,3.9.7,2.2.4,12,AMD Ryzen 5 4600H with Radeon Graphics,1,1 x NVIDIA GeForce GTX 1650,16.3097,41.2325,7.36431884765625,machine,N,1.0
2023-07-11T17:18:00,codecarbon,369429ba-4315-4a73-951b-405e51ee331e,0.0935306549072265,1.840708916668785e-07,1.9680274007432023e-06,27.0,2.441,2.7616195678710938,7.014799118041992e-07,5.628180682659149e-08,5.6005508317866776e-08,8.137672269486575e-07,Italy,ITA,apulia,,,Windows-10-10.0.22621-SP0,3.9.7,2.2.4,12,AMD Ryzen 5 4600H with Radeon Graphics,1,1 x NVIDIA GeForce GTX 1650,16.3097,41.2325,7.36431884765625,machine,N,1.0
2023-07-11T17:18:02,codecarbon,ae78cc3f-1a50-4c68-88e5-52bacae36891,0.0796988010406494,1.5597913080606193e-07,1.957107619806058e-06,27.0,2.297,2.7616195678710938,5.977410078048706e-07,4.4472017553117535e-08,4.736208121357776e-08,6.895751065715659e-07,Italy,ITA,apulia,,,Windows-10-10.0.22621-SP0,3.9.7,2.2.4,12,AMD Ryzen 5 4600H with Radeon Graphics,1,1 x NVIDIA GeForce GTX 1650,16.3097,41.2325,7.36431884765625,machine,N,1.0
2023-07-11T17:18:37,codecarbon,2cbec0d1-ea22-4bcf-8349-f2e706ccedb6,0.0983772277832031,1.908524304590561e-07,1.9400061859807985e-06,27.0,2.153,2.7616195678710938,7.303136587142944e-07,5.2547221581141154e-08,6.088715441364912e-08,8.437480347090847e-07,Italy,ITA,apulia,,,Windows-10-10.0.22621-SP0,3.9.7,2.2.4,12,AMD Ryzen 5 4600H with Radeon Graphics,1,1 x NVIDIA GeForce GTX 1650,16.3097,41.2325,7.36431884765625,machine,N,1.0
2023-07-11T17:18:40,codecarbon,27e1abbb-978f-4105-8894-a568674d9ffe,0.08414387702941895,1.6290404702808534e-07,1.936017839671563e-06,27.0,2.078,2.7616195678710938,6.310790777206421e-07,4.106788449817234e-08,4.804281579708914e-08,7.201897780159036e-07,Italy,ITA,apulia,,,Windows-10-10.0.22621-SP0,3.9.7,2.2.4,12,AMD Ryzen 5 4600H with Radeon Graphics,1,1 x NVIDIA GeForce GTX 1650,16.3097,41.2325,7.36431884765625,machine,N,1.0
